Region;Period;Cause_death;Sex;Age.Group;obitos_corrigidos1;obitos_corrigidos2;Pop_ajustada;Pop_ajustada;nmx_cause_ajustado.1;nmx_cause_ajustado.2
AR;2019/2020;Infec_parasit;Female;0;73,40331492;52,44714398;254983,6759;251432,9004;0,000287875;0,000208593
AR;2019/2020;Covid;Female;0;0;17,16856381;254983,6759;251432,9004;0;6,82829E-05
AR;2019/2020;Neoplasms;Female;0;12,05645802;9,041752887;254983,6759;251432,9004;4,72833E-05;3,59609E-05
AR;2019/2020;Circulatory;Female;0;22,1157511;26,1411981;254983,6759;251432,9004;8,6734E-05;0,000103969
AR;2019/2020;Respiratory;Female;0;175,9221794;61,42719646;254983,6759;251432,9004;0,000689935;0,000244309
AR;2019/2020;Pregnancy;Female;0;0;0;254983,6759;251432,9004;0;0
AR;2019/2020;External_causes;Female;0;58,54113656;46,75883739;254983,6759;251432,9004;0,000229588;0,000185969
AR;2019/2020;Undefined ;Female;0;125,4360719;107,3985966;254983,6759;251432,9004;0,000491938;0,000427146
AR;2019/2020;All_other_causes;Female;0;2033,950608;1671,456348;254983,6759;251432,9004;0,007976788;0,006647723
AR;2019/2020;All_causes;Female;0;2501,425519;1991,839638;254983,6759;251432,9004;0,00981014;0,007921953
AR;2019/2020;Infec_parasit;Female;1;39,21546961;15,126904;1430967,791;1433389,759;2,74049E-05;1,05532E-05
AR;2019/2020;Covid;Female;1;0;7,069408626;1430967,791;1433389,759;0;4,93195E-06
AR;2019/2020;Neoplasms;Female;1;42,19760308;41,1902076;1430967,791;1433389,759;2,94889E-05;2,87362E-05
AR;2019/2020;Circulatory;Female;1;22,1157511;9,048876264;1430967,791;1433389,759;1,54551E-05;6,31292E-06
AR;2019/2020;Respiratory;Female;1;81,4268373;44,30814171;1430967,791;1433389,759;5,69033E-05;3,09114E-05
AR;2019/2020;Pregnancy;Female;1;0;0;1430967,791;1433389,759;0;0
AR;2019/2020;External_causes;Female;1;106,9889737;95,55066771;1430967,791;1433389,759;7,47669E-05;6,66606E-05
AR;2019/2020;Undefined ;Female;1;55,19187162;27,10058044;1430967,791;1433389,759;3,85696E-05;1,89066E-05
AR;2019/2020;All_other_causes;Female;1;165,409502;129,7997323;1430967,791;1433389,759;0,000115593;9,05544E-05
AR;2019/2020;All_causes;Female;1;512,5460084;369,1945187;1430967,791;1433389,759;0,000358181;0,000257567
AR;2019/2020;Infec_parasit;Female;5;9,049723757;8,061464243;1804857,474;1808706,103;5,01409E-06;4,45703E-06
AR;2019/2020;Covid;Female;5;0;10,09915518;1804857,474;1808706,103;0;5,58364E-06
AR;2019/2020;Neoplasms;Female;5;56,26347077;53,24587811;1804857,474;1808706,103;3,11734E-05;2,94387E-05
AR;2019/2020;Circulatory;Female;5;16,08418262;14,07602974;1804857,474;1808706,103;8,91161E-06;7,78238E-06
