Region;Period;Cause_death;Sex;Age.Group;Obitos_1;Obitos_2;Pop1;Pop2
Central-West;2019/2020;All_causes;Female;0;1261;1153;118803;115216
Central-West;2019/2020;All_other_causes;Female;0;1078;971;118803;115216
Central-West;2019/2020;Circulatory;Female;0;14;11;118803;115216
Central-West;2019/2020;Covid;Female;0;0;6;118803;115216
Central-West;2019/2020;External_causes;Female;0;34;44;118803;115216
Central-West;2019/2020;Infec_parasit;Female;0;55;38;118803;115216
Central-West;2019/2020;Neoplasms;Female;0;1;6;118803;115216
Central-West;2019/2020;Pregnancy;Female;0;0;0;118803;115216
Central-West;2019/2020;Respiratory;Female;0;62;31;118803;115216
Central-West;2019/2020;Undefined;Female;0;17;46;118803;115216
Central-West;2019/2020;All_causes;Female;1;258;204;477974;476340
Central-West;2019/2020;All_other_causes;Female;1;100;68;477974;476340
Central-West;2019/2020;Circulatory;Female;1;9;10;477974;476340
Central-West;2019/2020;Covid;Female;1;0;8;477974;476340
Central-West;2019/2020;External_causes;Female;1;59;61;477974;476340
Central-West;2019/2020;Infec_parasit;Female;1;14;19;477974;476340
Central-West;2019/2020;Neoplasms;Female;1;16;20;477974;476340
Central-West;2019/2020;Pregnancy;Female;1;0;0;477974;476340
Central-West;2019/2020;Respiratory;Female;1;52;14;477974;476340
Central-West;2019/2020;Undefined;Female;1;8;4;477974;476340
Central-West;2019/2020;All_causes;Female;10;139;121;581337;576753
Central-West;2019/2020;All_other_causes;Female;10;35;38;581337;576753
Central-West;2019/2020;Circulatory;Female;10;7;9;581337;576753
Central-West;2019/2020;Covid;Female;10;0;3;581337;576753
Central-West;2019/2020;External_causes;Female;10;49;40;581337;576753
Central-West;2019/2020;Infec_parasit;Female;10;2;4;581337;576753
Central-West;2019/2020;Neoplasms;Female;10;23;16;581337;576753
Central-West;2019/2020;Pregnancy;Female;10;1;1;581337;576753
Central-West;2019/2020;Respiratory;Female;10;13;5;581337;576753
Central-West;2019/2020;Undefined;Female;10;9;5;581337;576753
Central-West;2019/2020;All_causes;Female;15;267;284;626251;620241
Central-West;2019/2020;All_other_causes;Female;15;68;60;626251;620241
Central-West;2019/2020;Circulatory;Female;15;10;16;626251;620241
Central-West;2019/2020;Covid;Female;15;0;14;626251;620241
Central-West;2019/2020;External_causes;Female;15;111;118;626251;620241
Central-West;2019/2020;Infec_parasit;Female;15;8;9;626251;620241
